,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,LAT,LONG
0,-8257322.018,4966652.597,1,0.116357453,0.000782307,Newark Airport,1,EWR,40.68951564,-74.17678575
1,-8218286.728,4957291.835,2,0.433469667,0.00486634,Jamaica Bay,2,Queens,40.62572423,-73.82612577
2,-8220886.389,4992580.187,3,0.084341106,0.000314414,Allerton/Pelham Gardens,3,Bronx,40.86588754,-73.84947892
3,-8235084.522,4971738.916,4,0.043566527,0.000111872,Alphabet City,4,Manhattan,40.72415214,-73.97702292
4,-8258785.193,4946241.476,5,0.09214649,0.000497957,Arden Heights,5,Staten Island,40.55034012,-74.18992967
5,-8245186.937,4953382.09,6,0.150490543,0.000606461,Arrochar/Fort Wadsworth,6,Staten Island,40.59906218,-74.06777446
6,-8228902.689,4977165.329,7,0.107417171,0.000389788,Astoria,7,Queens,40.76108473,-73.92149057
7,-8229093.25,4979740.882,8,0.027590691,2.66E-05,Astoria Park,8,Queens,40.77860696,-73.92320241
8,-8214044.841,4976184.541,9,0.099784092,0.000338444,Auburndale,9,Queens,40.75441093,-73.78802025
9,-8214450.624,4964980.432,10,0.099839479,0.000435824,Baisley Park,10,Queens,40.6781247,-73.79166546
10,-8238824.045,4954102.79,11,0.079211039,0.000264521,Bath Beach,11,Brooklyn,40.60397771,-74.01061563
11,-8239366.694,4968557.319,12,0.036661301,4.15E-05,Battery Park,12,Manhattan,40.70248841,-74.01549033
12,-8239436.752,4969897.121,13,0.050281323,0.000149359,Battery Park City,13,Manhattan,40.71161208,-74.01611967
13,-8241031.669,4956977.973,14,0.175213698,0.001381778,Bay Ridge,14,Brooklyn,40.62358428,-74.03044705
14,-8214039.368,4980713.02,15,0.144336223,0.000925219,Bay Terrace/Fort Totten,15,Queens,40.7852195,-73.78797109
15,-8212224.497,4977183.569,16,0.141291874,0.000871889,Bayside,16,Queens,40.76120884,-73.77166782
16,-8231985.207,4967016.466,17,0.093522633,0.000322958,Bedford,17,Brooklyn,40.69199409,-73.9491813
17,-8225054.533,4993003.448,18,0.06979955,0.00014885,Bedford Park,18,Bronx,40.86876288,-73.886922
18,-8207348.878,4973548.772,19,0.101824875,0.000546661,Bellerose,19,Queens,40.73647244,-73.72786939
19,-8224955.775,4991385.811,20,0.051440192,0.000134513,Belmont,20,Bronx,40.85777312,-73.88603484
20,-8235560.725,4953820,21,0.115973569,0.000380251,Bensonhurst East,21,Brooklyn,40.60204898,-73.98130073
21,-8237007.465,4954931.187,22,0.126170229,0.000472063,Bensonhurst West,22,Brooklyn,40.60962734,-73.99429701
22,-8255391.464,4954619.869,23,0.290556029,0.002195566,Bloomfield/Emerson Hill,23,Staten Island,40.60750422,-74.15944329
23,-8233809.425,4983185.249,24,0.046999962,6.07E-05,Bloomingdale,24,Manhattan,40.80203277,-73.96556853
24,-8236134.94,4966079.898,25,0.04714582,0.000124168,Boerum Hill,25,Brooklyn,40.68561459,-73.98645899
25,-8236480.188,4957715.428,26,0.123547807,0.00053404,Borough Park,26,Brooklyn,40.62861224,-73.9895604
26,-8227599.208,4947502.959,27,0.202508809,0.001340888,Breezy Point/Fort Tilden/Riis Beach,27,Queens,40.55895009,-73.9097812
27,-8216194.29,4969785.611,28,0.097960782,0.000291204,Briarwood/Jamaica Hills,28,Queens,40.71085278,-73.80732908
28,-8233254.087,4950909.559,29,0.071408313,0.000201674,Brighton Beach,29,Brooklyn,40.58219554,-73.96057984
29,-8217615.669,4954233.941,30,0.094509767,0.000145862,Broad Channel,30,Queens,40.60487218,-73.82009754
30,-8223807.76,4991701.877,31,0.096424567,0.000333976,Bronx Park,31,Bronx,40.85992052,-73.87572204
31,-8222572.347,4992368.833,32,0.054267216,0.000150879,Bronxdale,32,Bronx,40.86445171,-73.86462414
32,-8237122.323,4967639.606,33,0.053270293,0.000147417,Brooklyn Heights,33,Brooklyn,40.69623832,-73.9953288
33,-8234046.584,4968567.69,34,0.065705932,0.000173946,Brooklyn Navy Yard,34,Brooklyn,40.70255904,-73.96769897
34,-8227899.803,4962879.444,35,0.085787919,0.000323825,Brownsville,35,Brooklyn,40.66380982,-73.91248149
35,-8228354.263,4968057.54,36,0.087050787,0.000247666,Bushwick North,36,Brooklyn,40.69908474,-73.91656398
36,-8229398.928,4967643.883,37,0.14281004,0.000452063,Bushwick South,37,Brooklyn,40.69626745,-73.92594836
37,-8208203.83,4967207.545,38,0.083217569,0.000327393,Cambria Heights,38,Queens,40.69329557,-73.73554956
38,-8226485.197,4959221.425,39,0.132369621,0.000900283,Canarsie,39,Brooklyn,40.63887893,-73.89977387
39,-8237176.79,4965036.14,40,0.051850665,0.000108949,Carroll Gardens,40,Brooklyn,40.67850422,-73.99581808
40,-8232306.256,4983504.675,41,0.052793109,0.000143093,Central Harlem,41,Manhattan,40.80420483,-73.95206533
41,-8230909.323,4985981.747,42,0.092709227,0.000263897,Central Harlem North,42,Manhattan,40.82104622,-73.93951647
42,-8233809.831,4980307.284,43,0.099738618,0.000379663,Central Park,43,Manhattan,40.78245974,-73.96557218
43,-8263195.323,4942866.3,44,0.235688968,0.001944656,Charleston/Tottenville,44,Staten Island,40.52729817,-74.22954654
44,-8237447.801,4970109.444,45,0.045906863,9.14E-05,Chinatown,45,Manhattan,40.71305783,-73.99825262
45,-8213874.084,4989873.889,46,0.13447543,0.000926392,City Island,46,Bronx,40.8474999,-73.78648631
46,-8226168.524,4989617.105,47,0.089827556,0.000163198,Claremont/Bathgate,47,Bronx,40.84575494,-73.89692915
47,-8236513.166,4977334.642,48,0.043746744,9.43E-05,Clinton East,48,Manhattan,40.76223675,-73.98985665
48,-8233738.76,4966505.822,49,0.075290018,0.000203186,Clinton Hill,49,Brooklyn,40.68851588,-73.96493374
49,-8236963.203,4977989.51,50,0.055747987,0.000173249,Clinton West,50,Manhattan,40.76669237,-73.9938994
50,-8218765.164,4993783.48,51,0.095361344,0.000395757,Co-Op City,51,Bronx,40.87406155,-73.83042363
51,-8237299.73,4966225.226,52,0.028907671,4.52E-05,Cobble Hill,52,Brooklyn,40.68660454,-73.99692247
52,-8220284.309,4980237.925,53,0.161500913,0.000947531,College Point,53,Queens,40.78198796,-73.84407035
53,-8237986.607,4966281.982,54,0.076219245,0.000132452,Columbia Street,54,Brooklyn,40.68699115,-74.00309279
54,-8236581.905,4950133.342,55,0.149956808,0.000736275,Coney Island,55,Brooklyn,40.57689962,-73.99047414
55,-8221952.21,4974301.907,56,0.056847813,0.000180908,Corona,56,Queens,40.74159861,-73.85905336
56,-8221321.153,4975876.695,57,0.019270505,1.80E-05,Corona,56,Queens,40.75231604,-73.85338447
57,-8217683.333,4988987.38,58,0.059855409,0.000204981,Country Club,58,Bronx,40.8414755,-73.82070538
58,-8225739.419,4988602.525,59,0.037794807,6.29E-05,Crotona Park,59,Bronx,40.83885999,-73.89307443
59,-8225372.93,4987489.341,60,0.078648288,0.000161833,Crotona Park East,60,Bronx,40.83129412,-73.88978221
60,-8231105.864,4964351.938,61,0.117310808,0.000510772,Crown Heights North,61,Brooklyn,40.67384284,-73.94128203
61,-8231995.077,4963360.769,62,0.082259336,0.000158238,Crown Heights South,62,Brooklyn,40.66708956,-73.94926996
62,-8224025.321,4965961.813,63,0.119100722,0.000353191,Cypress Hills,63,Brooklyn,40.6848102,-73.87767643
63,-8207741.031,4977098.686,64,0.184451885,0.001057903,Douglaston,64,Queens,40.76063127,-73.73139216
64,-8236036.097,4967512.498,65,0.044607068,8.18E-05,Downtown Brooklyn/MetroTech,65,Brooklyn,40.69537261,-73.98557106
65,-8236126.453,4968446.318,66,0.054633459,0.000108379,DUMBO/Vinegar Hill,66,Brooklyn,40.70173247,-73.98638275
66,-8239282.708,4956225.627,67,0.099747078,0.000394282,Dyker Heights,67,Brooklyn,40.61845441,-74.01473587
67,-8237635.657,4975300.846,68,0.04933738,0.000111073,East Chelsea,68,Manhattan,40.74839722,-73.99994016
68,-8228220.929,4987388.35,69,0.078989645,0.000199052,East Concourse/Concourse Village,69,Bronx,40.83060768,-73.91536622
